Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Avon and Somerset Constabulary,Avon-and-Somerset,11,2021,22487,5.6,4,20946,93.1,1430,6.4,111,0.5
Bedfordshire Police,Bedfordshire,11,2021,9263,19.7,4,6272,67.7,2150,23.2,841,9.1
Cambridgeshire Constabulary,Cambridgeshire,11,2021,10969,13,8,7613,69.4,3069,28,287,2.6
Cheshire Constabulary,Cheshire,11,2021,11894,21.8,7,8354,70.2,2414,20.3,1126,9.5
Cleveland Police,Cleveland,11,2021,8413,9.3,5,6532,77.6,1777,21.1,104,1.2
Cumbria Constabulary,Cumbria,11,2021,5394,13.3,7,4336,80.4,863,16,195,3.6
Derbyshire Constabulary,Derbyshire,11,2021,13064,11.5,9,6991,53.5,5998,45.9,75,0.6
Devon & Cornwall Police,Devon-and-Cornwall,11,2021,19521,17.3,7,14334,73.4,4006,20.5,1181,6
Dorset Police,Dorset,11,2021,8973,14.6,8,5746,64,2911,32.4,316,3.5
Durham Constabulary,Durham,11,2021,7464,24.5,10,2685,36,3998,53.6,781,10.5
Dyfed-Powys Police,Dyfed-Powys,11,2021,4285,11.9,4,3377,78.8,735,17.2,173,4
Essex Police,Essex,11,2021,22614,12.1,6,17786,78.7,4095,18.1,733,3.2
Gloucestershire Constabulary,Gloucestershire,11,2021,6550,22.3,9,3332,50.9,2693,41.1,525,8
Greater Manchester Police,Greater-Manchester,11,2021,46134,20.5,7,33586,72.8,8453,18.3,4095,8.9
Gwent Police,Gwent,11,2021,6351,13.9,5,5226,82.3,798,12.6,327,5.1
Hampshire Constabulary,Hampshire,11,2021,20082,11.1,8,14836,73.9,4902,24.4,344,1.7
Hertfordshire Constabulary,Hertfordshire,11,2021,12397,14,8,9207,74.3,2749,22.2,441,3.6
Humberside Police,Humberside,11,2021,10629,16.6,12,158,1.5,10118,95.2,353,3.3
Kent Police,Kent,11,2021,23779,17.1,5,16049,67.5,6051,25.4,1679,7.1
Lancashire Constabulary,Lancashire,11,2021,21872,14.2,9,12712,58.1,8700,39.8,460,2.1
Leicestershire Police,Leicestershire,11,2021,13252,7.9,4,11894,89.8,1040,7.8,318,2.4
Lincolnshire Police,Lincolnshire,11,2021,7319,7.6,3,6252,85.4,934,12.8,133,1.8
Merseyside Police,Merseyside,11,2021,22050,10.2,4,18371,83.3,3003,13.6,676,3.1
Metropolitan Police Service,Metropolitan,11,2021,158154,17.9,7,110561,69.9,37059,23.4,10534,6.7
Norfolk Constabulary,Norfolk,11,2021,8720,8.8,5,7221,82.8,1385,15.9,114,1.3
North Wales Police,North-Wales,11,2021,7570,9.7,5,5774,76.3,1659,21.9,137,1.8
North Yorkshire Police,North-Yorkshire,11,2021,7783,27,14,3434,44.1,3404,43.7,945,12.1
Northamptonshire Police,Northamptonshire,11,2021,9415,6.4,4,8196,87.1,1192,12.7,27,0.3
Northumbria Police,Northumbria,11,2021,21684,43.9,10,10611,48.9,6555,30.2,4518,20.8
Nottinghamshire Police,Nottinghamshire,11,2021,14652,8.1,5,12959,88.4,1534,10.5,159,1.1
Police Scotland,Scotland,11,2021,51403,8.9,6,44735,87,6012,11.7,656,1.3
Police Service of Northern Ireland,Northern-Ireland,11,2021,14515,10.4,7,10926,75.3,3381,23.3,208,1.4
South Wales Police,South-Wales,11,2021,16793,13.6,4,12816,76.3,2958,17.6,1019,6.1
South Yorkshire Police,South-Yorkshire,11,2021,22196,21.6,12,3552,16,16981,76.5,1663,7.5
Staffordshire Police,Staffordshire,11,2021,14124,29.2,5,10831,76.7,1601,11.3,1692,12
Suffolk Constabulary,Suffolk,11,2021,8367,19.6,5,6669,79.7,1037,12.4,661,7.9
Surrey Police,Surrey,11,2021,11451,8.9,6,9472,82.7,1895,16.5,84,0.7
Sussex Police,Sussex,11,2021,19265,10.4,8,15306,79.4,3787,19.7,172,0.9
Thames Valley Police,Thames-Valley,11,2021,26495,12.3,6,21192,80,4430,16.7,873,3.3
Warwickshire Police,Warwickshire,11,2021,6831,7.3,3,5542,81.1,1220,17.9,69,1
West Mercia Police,West-Mercia,11,2021,12108,11.7,8,9267,76.5,2597,21.4,244,2
West Midlands police,West-Midlands,11,2021,55683,20.6,6,35925,64.5,14360,25.8,5398,9.7
West Yorkshire Police,West-Yorkshire,11,2021,36976,12.2,7,28303,76.5,7913,21.4,760,2.1
Wiltshire Police,Wiltshire,11,2021,6362,17.5,9,3909,61.4,2088,32.8,365,5.7
Avon and Somerset Constabulary,Avon-and-Somerset,12,2021,22767,6.1,4,20708,91,1897,8.3,162,0.7
Bedfordshire Police,Bedfordshire,12,2021,9127,17.7,4,6530,71.5,1939,21.2,658,7.2
Cambridgeshire Constabulary,Cambridgeshire,12,2021,10949,11.9,8,7944,72.6,2798,25.6,207,1.9
Cheshire Constabulary,Cheshire,12,2021,12398,24.3,8,8442,68.1,2535,20.4,1421,11.5
Cleveland Police,Cleveland,12,2021,8768,8.1,4,7271,82.9,1402,16,95,1.1
Cumbria Constabulary,Cumbria,12,2021,5398,10.2,7,4496,83.3,825,15.3,77,1.4
Derbyshire Constabulary,Derbyshire,12,2021,13441,12.2,9,6963,51.8,6347,47.2,131,1
Devon & Cornwall Police,Devon-and-Cornwall,12,2021,20246,18.1,7,14765,72.9,4220,20.8,1261,6.2
Dorset Police,Dorset,12,2021,9057,21.6,9,5404,59.7,3042,33.6,611,6.7
Durham Constabulary,Durham,12,2021,7652,19.2,10,3470,45.3,3663,47.9,519,6.8
Dyfed-Powys Police,Dyfed-Powys,12,2021,4304,9.4,4,3522,81.8,673,15.6,109,2.5
Essex Police,Essex,12,2021,23850,11.9,6,19082,80,4004,16.8,764,3.2
Gloucestershire Constabulary,Gloucestershire,12,2021,6804,26,10,3242,47.6,2835,41.7,727,10.7
Greater Manchester Police,Greater-Manchester,12,2021,46160,22.6,7,32102,69.5,9159,19.8,4899,10.6
Gwent Police,Gwent,12,2021,6751,15.3,5,5406,80.1,963,14.3,382,5.7
Hampshire Constabulary,Hampshire,12,2021,21110,13.5,8,14358,68,6081,28.8,671,3.2
Hertfordshire Constabulary,Hertfordshire,12,2021,13446,20.4,8,8930,66.4,3464,25.8,1052,7.8
Humberside Police,Humberside,12,2021,11531,15.7,12,201,1.7,11045,95.8,285,2.5
Kent Police,Kent,12,2021,24454,19.5,5,15658,64,6620,27.1,2176,8.9
Lancashire Constabulary,Lancashire,12,2021,22023,14.9,9,12392,56.3,9104,41.3,527,2.4
Leicestershire Police,Leicestershire,12,2021,13498,9.6,4,11668,86.4,1350,10,480,3.6
Lincolnshire Police,Lincolnshire,12,2021,8026,6.4,3,7059,88,881,11,86,1.1
Merseyside Police,Merseyside,12,2021,21731,10.3,4,17631,81.1,3377,15.5,723,3.3
Metropolitan Police Service,Metropolitan,12,2021,157211,22.6,7,103581,65.9,39303,25,14327,9.1
Norfolk Constabulary,Norfolk,12,2021,9105,9.3,5,7465,82,1483,16.3,157,1.7
North Wales Police,North-Wales,12,2021,7574,9.2,4,5821,76.9,1628,21.5,125,1.7
North Yorkshire Police,North-Yorkshire,12,2021,7596,21.8,8,3939,51.9,3016,39.7,641,8.4
Northamptonshire Police,Northamptonshire,12,2021,10510,6.3,4,9360,89.1,1097,10.4,53,0.5
Northumbria Police,Northumbria,12,2021,21764,36.8,9,11305,51.9,6458,29.7,4001,18.4
Nottinghamshire Police,Nottinghamshire,12,2021,15048,7.7,5,13386,89,1573,10.5,89,0.6
Police Scotland,Scotland,12,2021,52735,10.2,6,44872,85.1,6717,12.7,1146,2.2
Police Service of Northern Ireland,Northern-Ireland,12,2021,16075,10.4,7,11825,73.6,3971,24.7,279,1.7
South Wales Police,South-Wales,12,2021,15473,23.2,4,10625,68.7,3038,19.6,1810,11.7
South Yorkshire Police,South-Yorkshire,12,2021,20930,22,12,3120,14.9,16175,77.3,1635,7.8
Staffordshire Police,Staffordshire,12,2021,15434,21.4,5,12666,82.1,1471,9.5,1297,8.4
Suffolk Constabulary,Suffolk,12,2021,8728,19,5,6987,80.1,1114,12.8,627,7.2
Surrey Police,Surrey,12,2021,11760,10.6,6,9373,79.7,2174,18.5,213,1.8
Sussex Police,Sussex,12,2021,20122,10.8,8,16030,79.7,3818,19,274,1.4
Thames Valley Police,Thames-Valley,12,2021,26617,11.1,6,22022,82.7,3947,14.8,648,2.4
Warwickshire Police,Warwickshire,12,2021,7185,7.9,3,5754,80.1,1331,18.5,100,1.4
West Mercia Police,West-Mercia,12,2021,13109,11.9,8,10040,76.6,2813,21.5,256,2
West Midlands police,West-Midlands,12,2021,57206,21.2,6,38064,66.5,13411,23.4,5731,10
West Yorkshire Police,West-Yorkshire,12,2021,37798,11.2,7,30061,79.5,7151,18.9,586,1.6
Wiltshire Police,Wiltshire,12,2021,6718,15.5,8,4224,62.9,2185,32.5,309,4.6
Avon and Somerset Constabulary,Avon-and-Somerset,1,2022,21670,5.9,4,20053,92.5,1441,6.6,176,0.8
Bedfordshire Police,Bedfordshire,1,2022,9051,22.5,4,6237,68.9,1856,20.5,958,10.6
Cambridgeshire Constabulary,Cambridgeshire,1,2022,10775,12.8,8,7694,71.4,2829,26.3,252,2.3
Cheshire Constabulary,Cheshire,1,2022,11719,19.6,7,8797,75.1,1989,17,933,8
Cleveland Police,Cleveland,1,2022,8426,8.3,4,6987,82.9,1333,15.8,106,1.3
Cumbria Constabulary,Cumbria,1,2022,5269,11,7,4414,83.8,742,14.1,113,2.1
Derbyshire Constabulary,Derbyshire,1,2022,12639,10.8,8,7389,58.5,5190,41.1,60,0.5
Devon & Cornwall Police,Devon-and-Cornwall,1,2022,20093,15.8,7,15384,76.6,3721,18.5,988,4.9
Dorset Police,Dorset,1,2022,8617,14.5,8,5506,63.9,2825,32.8,286,3.3
Durham Constabulary,Durham,1,2022,7821,21.7,10,3448,44.1,3657,46.8,716,9.2
Dyfed-Powys Police,Dyfed-Powys,1,2022,3988,9.2,4,3332,83.6,567,14.2,89,2.2
Essex Police,Essex,1,2022,21859,11.6,6,17839,81.6,3313,15.2,707,3.2
Gloucestershire Constabulary,Gloucestershire,1,2022,6691,24,8,3581,53.5,2474,37,636,9.5
Greater Manchester Police,Greater-Manchester,1,2022,44068,24.9,7,30659,69.6,8000,18.2,5409,12.3
Gwent Police,Gwent,1,2022,6247,14.5,5,5129,82.1,827,13.2,291,4.7
Hampshire Constabulary,Hampshire,1,2022,20674,11,8,15736,76.1,4586,22.2,352,1.7
Hertfordshire Constabulary,Hertfordshire,1,2022,12754,14.1,7,9920,77.8,2324,18.2,510,4
Humberside Police,Humberside,1,2022,10732,16.1,12,249,2.3,10163,94.7,320,3
Kent Police,Kent,1,2022,23131,16.4,5,15955,69,5650,24.4,1526,6.6
Lancashire Constabulary,Lancashire,1,2022,20887,14.9,8,13634,65.3,6606,31.6,647,3.1
Leicestershire Police,Leicestershire,1,2022,12925,7.4,4,11707,90.6,953,7.4,265,2.1
Lincolnshire Police,Lincolnshire,1,2022,7738,5.3,3,6955,89.9,736,9.5,47,0.6
Merseyside Police,Merseyside,1,2022,21937,11.5,4,17745,80.9,3316,15.1,876,4
Metropolitan Police Service,Metropolitan,1,2022,156826,15.4,6,116238,74.1,32351,20.6,8237,5.3
Norfolk Constabulary,Norfolk,1,2022,2958,7.6,5,2533,85.6,405,13.7,20,0.7
North Wales Police,North-Wales,1,2022,7304,8.4,4,5758,78.8,1455,19.9,91,1.2
North Yorkshire Police,North-Yorkshire,1,2022,7277,25.8,10,3588,49.3,2826,38.8,863,11.9
Northamptonshire Police,Northamptonshire,1,2022,9702,6.2,4,8582,88.5,1094,11.3,26,0.3
Northumbria Police,Northumbria,1,2022,21231,30.7,9,12468,58.7,5710,26.9,3053,14.4
Nottinghamshire Police,Nottinghamshire,1,2022,15228,7.2,5,13856,91,1278,8.4,94,0.6
Police Scotland,Scotland,1,2022,49955,8.1,6,44587,89.3,4953,9.9,415,0.8
Police Service of Northern Ireland,Northern-Ireland,1,2022,15235,8.9,7,11659,76.5,3458,22.7,118,0.8
South Wales Police,South-Wales,1,2022,14073,17.3,4,10483,74.5,2351,16.7,1239,8.8
South Yorkshire Police,South-Yorkshire,1,2022,20956,19.4,12,3636,17.4,16027,76.5,1293,6.2
Staffordshire Police,Staffordshire,1,2022,14931,17.5,5,12718,85.2,1186,7.9,1027,6.9
Suffolk Constabulary,Suffolk,1,2022,8528,14.5,5,7266,85.2,845,9.9,417,4.9
Surrey Police,Surrey,1,2022,11188,10,6,9150,81.8,1852,16.6,186,1.7
Sussex Police,Sussex,1,2022,19229,9.6,8,16062,83.5,3020,15.7,147,0.8
Thames Valley Police,Thames-Valley,1,2022,25835,9.7,6,22269,86.2,3074,11.9,492,1.9
Warwickshire Police,Warwickshire,1,2022,6544,7.1,3,5317,81.3,1155,17.6,72,1.1
West Mercia Police,West-Mercia,1,2022,11863,9.9,8,9756,82.2,1990,16.8,117,1
West Midlands police,West-Midlands,1,2022,54871,19.4,6,35953,65.5,14228,25.9,4690,8.5
West Yorkshire Police,West-Yorkshire,1,2022,36687,11,7,29670,80.9,6431,17.5,586,1.6
Wiltshire Police,Wiltshire,1,2022,6198,14.5,8,4076,65.8,1876,30.3,246,4
Avon and Somerset Constabulary,Avon-and-Somerset,2,2022,21039,6.5,4,19126,90.9,1676,8,237,1.1
Bedfordshire Police,Bedfordshire,2,2022,8358,19.7,4,5881,70.4,1724,20.6,753,9
Cambridgeshire Constabulary,Cambridgeshire,2,2022,9226,13.9,8,6817,73.9,2053,22.3,356,3.9
Cheshire Constabulary,Cheshire,2,2022,10558,13.7,7,8577,81.2,1549,14.7,432,4.1
Cleveland Police,Cleveland,2,2022,7747,9.3,5,6241,80.6,1376,17.8,130,1.7
Cumbria Constabulary,Cumbria,2,2022,4723,10.7,7,3957,83.8,673,14.2,93,2
Derbyshire Constabulary,Derbyshire,2,2022,11540,9.7,8,7268,63,4225,36.6,47,0.4
Devon & Cornwall Police,Devon-and-Cornwall,2,2022,18977,19.8,7,13778,72.6,3764,19.8,1435,7.6
Dorset Police,Dorset,2,2022,8536,18.2,8,5316,62.3,2734,32,486,5.7
Durham Constabulary,Durham,2,2022,7226,24.7,10,3140,43.5,3251,45,835,11.6
Dyfed-Powys Police,Dyfed-Powys,2,2022,3954,9.8,4,3188,80.6,652,16.5,114,2.9
Essex Police,Essex,2,2022,21604,13.2,6,16618,76.9,4172,19.3,814,3.8
Gloucestershire Constabulary,Gloucestershire,2,2022,6365,29.1,11,3039,47.7,2497,39.2,829,13
Greater Manchester Police,Greater-Manchester,2,2022,39898,28.3,8,26236,65.8,7741,19.4,5921,14.8
Gwent Police,Gwent,2,2022,6387,15.2,5,5251,82.2,774,12.1,362,5.7
Hampshire Constabulary,Hampshire,2,2022,20060,12.9,8,14190,70.7,5309,26.5,561,2.8
Hertfordshire Constabulary,Hertfordshire,2,2022,12570,13.6,7,9453,75.2,2693,21.4,424,3.4
Humberside Police,Humberside,2,2022,10290,16.4,12,225,2.2,9762,94.9,303,2.9
Kent Police,Kent,2,2022,21743,14.8,5,15262,70.2,5370,24.7,1111,5.1
Lancashire Constabulary,Lancashire,2,2022,19115,10.8,8,13590,71.1,5380,28.1,145,0.8
Leicestershire Police,Leicestershire,2,2022,12648,7.7,4,11376,89.9,984,7.8,288,2.3
Lincolnshire Police,Lincolnshire,2,2022,6873,4.4,3,6436,93.6,412,6,25,0.4
Merseyside Police,Merseyside,2,2022,19997,11.6,4,16208,81.1,2955,14.8,834,4.2
Metropolitan Police Service,Metropolitan,2,2022,148818,15.9,6,107925,72.5,32895,22.1,7998,5.4
Norfolk Constabulary,Norfolk,2,2022,8114,7.5,5,6941,85.5,1114,13.7,59,0.7
North Wales Police,North-Wales,2,2022,7094,8.3,4,5603,79,1402,19.8,89,1.3
North Yorkshire Police,North-Yorkshire,2,2022,7029,31.3,15,3118,44.4,2888,41.1,1023,14.6
Northamptonshire Police,Northamptonshire,2,2022,9744,6.8,4,8291,85.1,1413,14.5,40,0.4
Northumbria Police,Northumbria,2,2022,19388,27.1,9,11655,60.1,5320,27.4,2413,12.4
Nottinghamshire Police,Nottinghamshire,2,2022,14579,7.8,5,12955,88.9,1486,10.2,138,0.9
Police Scotland,Scotland,2,2022,47975,8.7,6,42240,88,5159,10.8,576,1.2
Police Service of Northern Ireland,Northern-Ireland,2,2022,13601,9.1,7,10564,77.7,2900,21.3,137,1
South Wales Police,South-Wales,2,2022,16934,24.6,4,11948,70.6,2963,17.5,2023,11.9
South Yorkshire Police,South-Yorkshire,2,2022,20143,19.5,12,3758,18.7,15204,75.5,1181,5.9
Staffordshire Police,Staffordshire,2,2022,14746,16.3,5,12458,84.5,1330,9,958,6.5
Suffolk Constabulary,Suffolk,2,2022,8346,22.3,5,6602,79.1,998,12,746,8.9
Surrey Police,Surrey,2,2022,10709,10.4,6,8579,80.1,1934,18.1,196,1.8
Sussex Police,Sussex,2,2022,18777,10.7,8,15034,80.1,3500,18.6,243,1.3
Thames Valley Police,Thames-Valley,2,2022,24568,11,6,20559,83.7,3333,13.6,676,2.8
Warwickshire Police,Warwickshire,2,2022,6244,6.9,3,5146,82.4,1041,16.7,57,0.9
West Mercia Police,West-Mercia,2,2022,11570,12.4,8,8870,76.7,2445,21.1,255,2.2
West Midlands police,West-Midlands,2,2022,52172,20.4,6,34604,66.3,12490,23.9,5078,9.7
West Yorkshire Police,West-Yorkshire,2,2022,33560,11,7,27027,80.5,6036,18,497,1.5
Wiltshire Police,Wiltshire,2,2022,6145,15.8,8,3862,62.8,1978,32.2,305,5
Avon and Somerset Constabulary,Avon-and-Somerset,3,2022,22436,6.5,4,20318,90.6,1879,8.4,239,1.1
Bedfordshire Police,Bedfordshire,3,2022,9450,17.8,4,6659,70.5,2046,21.7,745,7.9
Cambridgeshire Constabulary,Cambridgeshire,3,2022,11194,14.9,8,7927,70.8,2799,25,468,4.2
Cheshire Constabulary,Cheshire,3,2022,11798,18.3,7,9105,77.2,1799,15.2,894,7.6
Cleveland Police,Cleveland,3,2022,8771,8,4,7307,83.3,1376,15.7,88,1
Cumbria Constabulary,Cumbria,3,2022,5197,10.1,7,4318,83.1,810,15.6,69,1.3
Derbyshire Constabulary,Derbyshire,3,2022,13088,10.2,8,7882,60.2,5155,39.4,51,0.4
Devon & Cornwall Police,Devon-and-Cornwall,3,2022,20605,26.9,8,13718,66.6,4529,22,2358,11.4
Dorset Police,Dorset,3,2022,8371,18.1,8,5338,63.8,2612,31.2,421,5
Durham Constabulary,Durham,3,2022,8177,23,10,3248,39.7,4159,50.9,770,9.4
Dyfed-Powys Police,Dyfed-Powys,3,2022,4297,9.4,4,3596,83.7,591,13.8,110,2.6
Essex Police,Essex,3,2022,23637,11.9,6,18764,79.4,4140,17.5,733,3.1
Gloucestershire Constabulary,Gloucestershire,3,2022,7336,39.7,16,2779,37.9,3198,43.6,1359,18.5
Greater Manchester Police,Greater-Manchester,3,2022,44058,29,8,28180,64,9204,20.9,6674,15.1
Gwent Police,Gwent,3,2022,4011,21.4,5,3087,77,577,14.4,347,8.7
Hampshire Constabulary,Hampshire,3,2022,22097,12.8,8,15509,70.2,5985,27.1,603,2.7
Hertfordshire Constabulary,Hertfordshire,3,2022,13273,16.1,7,9523,71.7,3131,23.6,619,4.7
Humberside Police,Humberside,3,2022,11374,16.9,12,188,1.7,10824,95.2,362,3.2
Kent Police,Kent,3,2022,22885,17.4,5,15087,65.9,6135,26.8,1663,7.3
Lancashire Constabulary,Lancashire,3,2022,22644,15.6,9,13320,58.8,8655,38.2,669,3
Leicestershire Police,Leicestershire,3,2022,13444,8.3,4,11905,88.6,1177,8.8,362,2.7
Lincolnshire Police,Lincolnshire,3,2022,8120,6.1,3,7274,89.6,756,9.3,90,1.1
Merseyside Police,Merseyside,3,2022,22258,12.3,4,16988,76.3,4351,19.5,919,4.1
Metropolitan Police Service,Metropolitan,3,2022,163153,20,7,109181,66.9,41182,25.2,12790,7.8
Norfolk Constabulary,Norfolk,3,2022,8743,8.7,5,7101,81.2,1531,17.5,111,1.3
North Wales Police,North-Wales,3,2022,7946,8.8,4,6181,77.8,1655,20.8,110,1.4
North Yorkshire Police,North-Yorkshire,3,2022,7982,39.4,25,2456,30.8,3925,49.2,1601,20.1
Northamptonshire Police,Northamptonshire,3,2022,10299,6.5,4,8903,86.4,1362,13.2,34,0.3
Northumbria Police,Northumbria,3,2022,23345,30,9,13033,55.8,6992,30,3320,14.2
Nottinghamshire Police,Nottinghamshire,3,2022,16544,9,6,14331,86.6,1993,12,220,1.3
Police Scotland,Scotland,3,2022,57925,11.5,6,45810,79.1,10662,18.4,1453,2.5
Police Service of Northern Ireland,Northern-Ireland,3,2022,16043,9.7,7,12316,76.8,3523,22,204,1.3
South Wales Police,South-Wales,3,2022,18965,25.5,4,13220,69.7,3247,17.1,2498,13.2
South Yorkshire Police,South-Yorkshire,3,2022,23217,21.5,12,4141,17.8,17348,74.7,1728,7.4
Staffordshire Police,Staffordshire,3,2022,17008,19.3,5,13961,82.1,1723,10.1,1324,7.8
Suffolk Constabulary,Suffolk,3,2022,8749,17,5,7195,82.2,1004,11.5,550,6.3
Surrey Police,Surrey,3,2022,12487,9,6,10396,83.3,1973,15.8,118,0.9
Sussex Police,Sussex,3,2022,21212,10.5,8,17250,81.3,3698,17.4,264,1.2
Thames Valley Police,Thames-Valley,3,2022,27488,12.3,6,21794,79.3,4760,17.3,934,3.4
Warwickshire Police,Warwickshire,3,2022,7382,14.2,7,5257,71.2,1793,24.3,332,4.5
West Mercia Police,West-Mercia,3,2022,13284,12.4,8,10447,78.6,2483,18.7,354,2.7
West Midlands police,West-Midlands,3,2022,55807,26.3,7,33733,60.4,14619,26.2,7455,13.4
West Yorkshire Police,West-Yorkshire,3,2022,39270,11.6,7,30690,78.2,7946,20.2,634,1.6
Wiltshire Police,Wiltshire,3,2022,6850,19.3,9,3491,51,2935,42.8,424,6.2
Avon and Somerset Constabulary,Avon-and-Somerset,4,2022,23024,6.3,4,21029,91.3,1759,7.6,236,1
Bedfordshire Police,Bedfordshire,4,2022,9447,17.6,4,6745,71.4,1995,21.1,707,7.5
Cambridgeshire Constabulary,Cambridgeshire,4,2022,11087,14.6,8,7892,71.2,2755,24.8,440,4
Cheshire Constabulary,Cheshire,4,2022,11696,11.3,7,9905,84.7,1472,12.6,319,2.7
Cleveland Police,Cleveland,4,2022,8947,7.7,4,7581,84.7,1282,14.3,84,0.9
Cumbria Constabulary,Cumbria,4,2022,5451,10.6,7,4520,82.9,848,15.6,83,1.5
Derbyshire Constabulary,Derbyshire,4,2022,13159,10,8,8227,62.5,4885,37.1,47,0.4
Devon & Cornwall Police,Devon-and-Cornwall,4,2022,22224,28.3,8,14379,64.7,5064,22.8,2781,12.5
Dorset Police,Dorset,4,2022,9841,15.2,8,6378,64.8,3084,31.3,379,3.9
Durham Constabulary,Durham,4,2022,7919,23.8,10,3046,38.5,4055,51.2,818,10.3
Dyfed-Powys Police,Dyfed-Powys,4,2022,4693,11.1,4,3740,79.7,784,16.7,169,3.6
Essex Police,Essex,4,2022,23967,11.9,6,18896,78.8,4337,18.1,734,3.1
Gloucestershire Constabulary,Gloucestershire,4,2022,6822,21.7,8,3800,55.7,2494,36.6,528,7.7
Greater Manchester Police,Greater-Manchester,4,2022,46888,18.7,7,35283,75.2,7786,16.6,3819,8.1
Gwent Police,Gwent,4,2022,7331,16.4,5,5721,78,1162,15.9,448,6.1
Hampshire Constabulary,Hampshire,4,2022,21267,12.1,8,15761,74.1,5029,23.6,477,2.2
Hertfordshire Constabulary,Hertfordshire,4,2022,13416,16.2,7,9343,69.6,3415,25.5,658,4.9
Humberside Police,Humberside,4,2022,12728,18.9,12,279,2.2,11794,92.7,655,5.1
Kent Police,Kent,4,2022,24073,16.4,5,16142,67.1,6392,26.6,1539,6.4
Lancashire Constabulary,Lancashire,4,2022,22540,13.4,8,15066,66.8,6978,31,496,2.2
Leicestershire Police,Leicestershire,4,2022,14839,9.2,4,13025,87.8,1326,8.9,488,3.3
Lincolnshire Police,Lincolnshire,4,2022,8549,6.3,3,7564,88.5,888,10.4,97,1.1
Merseyside Police,Merseyside,4,2022,22618,10.6,4,18060,79.8,3808,16.8,750,3.3
Metropolitan Police Service,Metropolitan,4,2022,160962,21.2,7,111029,69,35571,22.1,14362,8.9
Norfolk Constabulary,Norfolk,4,2022,9185,7.7,5,7716,84,1421,15.5,48,0.5
North Wales Police,North-Wales,4,2022,8609,8.9,4,6732,78.2,1742,20.2,135,1.6
North Yorkshire Police,North-Yorkshire,4,2022,7985,30.3,16,3419,42.8,3468,43.4,1098,13.8
Northamptonshire Police,Northamptonshire,4,2022,10428,6.2,4,9147,87.7,1255,12,26,0.2
Northumbria Police,Northumbria,4,2022,23298,31,9,13145,56.4,6668,28.6,3485,15
Nottinghamshire Police,Nottinghamshire,4,2022,16134,8.2,6,14306,88.7,1684,10.4,144,0.9
Police Scotland,Scotland,4,2022,57233,12.9,7,42393,74.1,12974,22.7,1866,3.3
Police Service of Northern Ireland,Northern-Ireland,4,2022,16087,9.7,7,12260,76.2,3611,22.4,216,1.3
South Wales Police,South-Wales,4,2022,19091,25.6,4,12669,66.4,3814,20,2608,13.7
South Yorkshire Police,South-Yorkshire,4,2022,22636,18.9,12,3984,17.6,17408,76.9,1244,5.5
Staffordshire Police,Staffordshire,4,2022,16832,24.2,5,13087,77.8,1919,11.4,1826,10.8
Suffolk Constabulary,Suffolk,4,2022,8763,21.7,5,6828,77.9,1126,12.8,809,9.2
Surrey Police,Surrey,4,2022,12400,8.6,6,10535,85,1768,14.3,97,0.8
Sussex Police,Sussex,4,2022,21363,11.3,8,17113,80.1,3922,18.4,328,1.5
Thames Valley Police,Thames-Valley,4,2022,26750,11.2,6,22243,83.2,3769,14.1,738,2.8
Warwickshire Police,Warwickshire,4,2022,7330,13,8,5361,73.1,1806,24.6,163,2.2
West Mercia Police,West-Mercia,4,2022,13293,12.1,8,10587,79.6,2416,18.2,290,2.2
West Midlands police,West-Midlands,4,2022,56754,31.4,7,31952,56.3,15005,26.4,9797,17.3
West Yorkshire Police,West-Yorkshire,4,2022,38413,10.8,7,30625,79.7,7396,19.3,392,1
Wiltshire Police,Wiltshire,4,2022,6546,17.2,8,4072,62.2,2098,32.1,376,5.7
Avon and Somerset Constabulary,Avon-and-Somerset,5,2022,25231,8.6,4,21808,86.4,2844,11.3,579,2.3
Bedfordshire Police,Bedfordshire,5,2022,10421,19.3,4,7418,71.2,2093,20.1,910,8.7
Cambridgeshire Constabulary,Cambridgeshire,5,2022,12061,15.9,8,8496,70.4,2974,24.7,591,4.9
Cheshire Constabulary,Cheshire,5,2022,12652,10.7,7,9839,77.8,2530,20,283,2.2
Cleveland Police,Cleveland,5,2022,9643,7.9,4,8040,83.4,1513,15.7,90,0.9
Cumbria Constabulary,Cumbria,5,2022,5915,11,7,4859,82.1,926,15.7,130,2.2
Derbyshire Constabulary,Derbyshire,5,2022,13808,10.3,8,8481,61.4,5265,38.1,62,0.4
Devon & Cornwall Police,Devon-and-Cornwall,5,2022,23328,31.3,8,14864,63.7,5191,22.3,3273,14
Dorset Police,Dorset,5,2022,10734,14.9,8,7255,67.6,3057,28.5,422,3.9
Durham Constabulary,Durham,5,2022,8623,28.8,11,2778,32.2,4618,53.6,1227,14.2
Dyfed-Powys Police,Dyfed-Powys,5,2022,4883,8.8,4,4053,83,711,14.6,119,2.4
