Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
West Mercia Police,West-Mercia,11,2023,13988,14.38,8,10915,78,2498,17.9,575,4.1
West Midlands police,West-Midlands,11,2023,62207,7.03,5,57506,92.4,4392,7.1,309,0.5
West Yorkshire Police,West-Yorkshire,11,2023,38027,5.84,4,35047,92.2,2779,7.3,201,0.5
Wiltshire Police,Wiltshire,11,2023,7868,16.67,5,6032,76.7,1370,17.4,466,5.9
Avon and Somerset Constabulary,Avon-and-Somerset,12,2023,25768,13.33,4,21044,81.7,3352,13,1372,5.3
Bedfordshire Police,Bedfordshire,12,2023,9794,13.04,4,8455,86.3,789,8.1,550,5.6
Cambridgeshire Constabulary,Cambridgeshire,12,2023,12405,17.79,4,9561,77.1,1763,14.2,1081,8.7
Cheshire Constabulary,Cheshire,12,2023,12509,8.46,5,11260,90,1014,8.1,235,1.9
Cleveland Police,Cleveland,12,2023,9017,7.25,4,7870,87.3,1053,11.7,94,1
Cumbria Constabulary,Cumbria,12,2023,5697,7.68,6,5151,90.4,535,9.4,11,0.2
Derbyshire Constabulary,Derbyshire,12,2023,14240,7.57,7,11272,79.2,2948,20.7,20,0.1
Devon & Cornwall Police,Devon-and-Cornwall,12,2023,23072,10.19,8,19268,83.5,3419,14.8,385,1.7
Dorset Police,Dorset,12,2023,10131,13.77,8,7254,71.6,2522,24.9,355,3.5
Durham Constabulary,Durham,12,2023,8228,12.23,8,6493,78.9,1486,18.1,249,3
Dyfed-Powys Police,Dyfed-Powys,12,2023,5247,8.66,4,4313,82.2,840,16,94,1.8
Essex Police,Essex,12,2023,25157,11.2,6,21116,83.9,3271,13,770,3.1
Gloucestershire Constabulary,Gloucestershire,12,2023,7254,8.64,6,6225,85.8,950,13.1,79,1.1
Greater Manchester Police,Greater-Manchester,12,2023,45860,6.03,4,42842,93.4,2713,5.9,305,0.7
Gwent Police,Gwent,12,2023,7219,6.06,5,6770,93.8,433,6,16,0.2
Hampshire Constabulary,Hampshire,12,2023,23251,10.86,7,19778,85.1,3001,12.9,472,2
Hertfordshire Constabulary,Hertfordshire,12,2023,15141,10,5,12675,83.7,2107,13.9,359,2.4
Humberside Police,Humberside,12,2023,12904,6.7,5,11747,91,1085,8.4,72,0.6
Kent Police,Kent,12,2023,25765,10.15,5,21764,84.5,3277,12.7,724,2.8
Lancashire Constabulary,Lancashire,12,2023,22457,8.82,7,19531,87,2843,12.7,83,0.4
Leicestershire Police,Leicestershire,12,2023,16851,8.38,4,15560,92.3,876,5.2,415,2.5
Lincolnshire Police,Lincolnshire,12,2023,9010,5.52,4,8367,92.9,601,6.7,42,0.5
Merseyside Police,Merseyside,12,2023,22858,9.45,4,19975,87.4,2209,9.7,674,2.9
Metropolitan Police Service,Metropolitan,12,2023,184692,12.92,6,152601,82.6,24801,13.4,7290,3.9
